category,delivery_records,late_deliveries,late_delivery_rate_pct,avg_shipping_delay_days,total_sales
Cleats,23514,13496.0,57.4,0.58,4244594.01
Men's Footwear,21263,12121.0,57.01,0.57,2763977.49
Women's Apparel,20116,11476.0,57.05,0.56,3011600.0
Indoor/Outdoor Games,18470,10565.0,57.2,0.56,2765543.31
Fishing,16595,9516.0,57.34,0.56,6637668.28
Water Sports,14880,8517.0,57.24,0.57,2981851.28
Camping & Hiking,13157,7487.0,56.91,0.55,3946837.0
Cardio Equipment,11948,6805.0,56.96,0.55,3533289.21
Shop By Sport,10515,6058.0,57.61,0.57,1253395.63
Electronics,3024,1770.0,58.53,0.57,356836.39
Accessories,1697,1014.0,59.75,0.6,128073.75
Golf Balls,1403,805.0,57.38,0.55,73118.41
Girls' Apparel,1137,664.0,58.4,0.58,142986.61
Golf Gloves,1029,602.0,58.5,0.62,111906.71
Trade-In,926,542.0,58.53,0.63,65571.18
Video Games,804,455.0,56.59,0.59,31959.0
Women's Clothing,631,367.0,58.16,0.64,136182.42
Baseball & Softball,607,349.0,57.5,0.61,90522.86
Children's Clothing,622,348.0,55.95,0.57,222116.2
Cameras ,562,344.0,61.21,0.62,254046.48
Hockey,588,329.0,55.95,0.46,46105.75
Toys,507,291.0,57.4,0.54,5850.78
Golf Shoes,502,291.0,57.97,0.58,103591.0
Pet Supplies,472,290.0,61.44,0.7,39836.8
Crafts,458,271.0,59.17,0.62,211357.85
Garden,466,270.0,57.94,0.58,248182.29
DVDs,459,259.0,56.43,0.53,75450.42
Music,417,248.0,59.47,0.58,108691.05
Hunting & Shooting,424,247.0,58.25,0.56,54667.77
Boxing & MMA,402,238.0,59.2,0.67,81726.82
Consumer Electronics,409,238.0,58.19,0.62,103427.92
Books ,391,229.0,58.57,0.57,12152.28
Golf Apparel,429,229.0,53.38,0.48,33900.02
Computers,425,224.0,52.71,0.46,637500.0
Lacrosse,329,206.0,62.61,0.66,38015.22
Kids' Golf Clubs,356,205.0,57.58,0.59,91340.51
Health and Beauty,346,202.0,58.38,0.52,101391.84
Sporting Goods,336,198.0,58.93,0.6,110124.0
Tennis & Racquet,314,183.0,58.28,0.66,42920.46
Fitness Accessories,296,176.0,59.46,0.62,34481.76
CDs ,263,141.0,53.61,0.44,2969.27
Men's Golf Clubs,274,135.0,49.27,0.32,45890.89
Men's Clothing,198,113.0,57.07,0.5,41748.3
Baby ,198,109.0,55.05,0.44,11697.84
Women's Golf Clubs,170,97.0,57.06,0.56,42076.21
Soccer,136,75.0,55.15,0.69,26272.07
Strength Training,109,64.0,58.72,0.64,54517.53
Golf Bags & Carts,61,42.0,68.85,0.77,10369.39
As Seen on  TV!,66,39.0,59.09,0.7,19898.01
Basketball,64,37.0,57.81,0.45,26199.36
